# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Armenian: [ه٥ھہە۵ۿ]; [օ]

0647          ; Arab; Armn; L #      (ه)  ARABIC LETTER HEH

# Total code points: 2

# Hebrew; Kannada: [ס]; [ಂ೦]

05E1          ; Hebr; Knda; A #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Lao: [ס]; [໐]

05E1          ; Hebr; Laoo; A #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Latin: [וטיןסװױ]; [ILOlovøŁłơ]

05D5          ; Hebr; Latn; A #      (ו)  HEBREW LETTER VAV
05D8..05D9    ; Hebr; Latn; A #  [2] (ט..י)  HEBREW LETTER TET..HEBREW LETTER YOD
05DF          ; Hebr; Latn; A #      (ן)  HEBREW LETTER FINAL NUN
05E1          ; Hebr; Latn; A #      (ס)  HEBREW LETTER SAMEKH
05F0..05F1    ; Hebr; Latn; A #  [2] (װ..ױ)  HEBREW LIGATURE YIDDISH DOUBLE VAV..HEBREW LIGATURE YIDDISH VAV YOD

# Total code points: 7

# Hebrew; Malayalam: [ס]; [ം൦]

05E1          ; Hebr; Mlym; A #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Myanmar: [ס]; [ဝ၀]

05E1          ; Hebr; Mymr; A #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Oriya: [ִ]; [଼]

05B4          ; Hebr; Orya; A #      (ִ)  HEBREW POINT HIRIQ

# Total code points: 1

# Hebrew; Sinhala: [ס]; [ං]

05E1          ; Hebr; Sinh; A #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Tamil: [ס]; [௦]

05E1          ; Hebr; Taml; A #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Telugu: [ס]; [ం౦]

05E1          ; Hebr; Telu; A #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Thai: [ס]; [๐]

05E1          ; Hebr; Thai; A #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hiragana; Katakana: [へ]; [ヘ]

3078          ; Hira; Kana; A #      (へ)  HIRAGANA LETTER HE

# Total code points: 1

# Kannada; Arabic: [ಂ೦]; [ه٥ھہە۵ۿ]

0C82          ; Knda; Arab; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Arab; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Armenian: [ಂ೦]; [օ]

0C82          ; Knda; Armn; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Armn; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Bengali: [ಃ]; [ঃ]

0C83          ; Knda; Beng; A #      (ಃ)  KANNADA SIGN VISARGA

# Total code points: 1

# Kannada; Cyrillic: [ಂ೦]; [оө]

0C82          ; Knda; Cyrl; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Cyrl; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Devanagari: [ಂ೦]; [०]

0C82          ; Knda; Deva; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Deva; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Georgian: [ಂ೦]; [ჿ]

0C82          ; Knda; Geor; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Geor; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Greek: [ಂ೦]; [οσ]

0C82          ; Knda; Grek; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Grek; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Gujarati: [ಂ೦]; [૦]

0C82          ; Knda; Gujr; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Gujr; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Gurmukhi: [ಂಃ೦]; [ਃ੦]

0C82..0C83    ; Knda; Guru; A #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Guru; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Hebrew: [ಂ೦]; [ס]

0C82          ; Knda; Hebr; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Hebr; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Lao: [ಂ೦]; [໐]

0C82          ; Knda; Laoo; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Laoo; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Latin: [ಂ೦]; [oøơ]

0C82          ; Knda; Latn; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Latn; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Malayalam: [ಂಃ೦]; [ംഃ൦]

0C82..0C83    ; Knda; Mlym; A #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Mlym; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Myanmar: [ಂಃ೦]; [ဝး၀]

0C82..0C83    ; Knda; Mymr; A #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Mymr; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Sinhala: [ಂಃ೦]; [ංඃ]

0C82..0C83    ; Knda; Sinh; A #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Sinh; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Tamil: [ಂ೦]; [௦]

0C82          ; Knda; Taml; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Taml; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Telugu: [ಂಃಅ-ಇಒ-ಔಜಞಣಯಱಲೌ೦-೨೯]; [ంఃఅ-ఇఒ-ఔజఞణయఱలౌౕ౦-౨౯]

0C82..0C83    ; Knda; Telu; A #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C85..0C87    ; Knda; Telu; A #  [3] (ಅ..ಇ)  KANNADA LETTER A..KANNADA LETTER I
0C92..0C94    ; Knda; Telu; A #  [3] (ಒ..ಔ)  KANNADA LETTER O..KANNADA LETTER AU
0C9C          ; Knda; Telu; A #      (ಜ)  KANNADA LETTER JA
0C9E          ; Knda; Telu; A #      (ಞ)  KANNADA LETTER NYA
0CA3          ; Knda; Telu; A #      (ಣ)  KANNADA LETTER NNA
0CAF          ; Knda; Telu; A #      (ಯ)  KANNADA LETTER YA
0CB1..0CB2    ; Knda; Telu; A #  [2] (ಱ..ಲ)  KANNADA LETTER RRA..KANNADA LETTER LA
0CCC          ; Knda; Telu; A #      (ೌ)  KANNADA VOWEL SIGN AU
0CE6..0CE8    ; Knda; Telu; A #  [3] (೦..೨)  KANNADA DIGIT ZERO..KANNADA DIGIT TWO
0CEF          ; Knda; Telu; A #      (೯)  KANNADA DIGIT NINE

# Total code points: 19

# Kannada; Thai: [ಂ೦]; [๐]

0C82          ; Knda; Thai; A #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Thai; A #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Katakana; Hiragana: [ヘ]; [へ]

30D8          ; Kana; Hira; A #      (ヘ)  KATAKANA LETTER HE

# Total code points: 1

# Khmer; Lao: [ំ]; [ໍ]

17C6          ; Khmr; Laoo; A #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Myanmar: [ំ]; [ံ]

17C6          ; Khmr; Mymr; A #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Tamil: [ំ]; [ஂ]

17C6          ; Khmr; Taml; A #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Thai: [ិ-ឺំ]; [ิ-ืํ]

17B7..17BA    ; Khmr; Thai; A #  [4] (ិ..ឺ)  KHMER VOWEL SIGN I..KHMER VOWEL SIGN YY
17C6          ; Khmr; Thai; A #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 5

# Lao; Arabic: [໐]; [ه٥ھہە۵ۿ]

0ED0          ; Laoo; Arab; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Armenian: [໐]; [օ]

0ED0          ; Laoo; Armn; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Cyrillic: [໐]; [оө]

0ED0          ; Laoo; Cyrl; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Devanagari: [໐]; [०]

0ED0          ; Laoo; Deva; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Georgian: [໐]; [ჿ]

0ED0          ; Laoo; Geor; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Greek: [໐]; [οσ]

0ED0          ; Laoo; Grek; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Gujarati: [໐]; [૦]

0ED0          ; Laoo; Gujr; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Gurmukhi: [໐]; [੦]

0ED0          ; Laoo; Guru; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Hebrew: [໐]; [ס]

0ED0          ; Laoo; Hebr; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Kannada: [໐]; [ಂ೦]

0ED0          ; Laoo; Knda; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Khmer: [ໍ]; [ំ]

0ECD          ; Laoo; Khmr; A #      (ໍ)  LAO NIGGAHITA

# Total code points: 1

# Lao; Latin: [໐]; [oøơ]

0ED0          ; Laoo; Latn; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Malayalam: [໐]; [ം൦]

0ED0          ; Laoo; Mlym; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Myanmar: [ໍ໐]; [ဝံ၀]

0ECD          ; Laoo; Mymr; A #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Mymr; A #      (໐)  LAO DIGIT ZERO

# Total code points: 2

# Lao; Sinhala: [໐]; [ං]

0ED0          ; Laoo; Sinh; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Tamil: [ໍ໐]; [ஂ௦]

0ECD          ; Laoo; Taml; A #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Taml; A #      (໐)  LAO DIGIT ZERO

# Total code points: 2

# Lao; Telugu: [໐]; [ం౦]

0ED0          ; Laoo; Telu; A #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Thai: [ຈຍບປຝ-ຟຸູ່-໋ໍ໐]; [จบปฝ-ฟยุู่-๋ํ๐]

0E88          ; Laoo; Thai; A #      (ຈ)  LAO LETTER CO
0E8D          ; Laoo; Thai; A #      (ຍ)  LAO LETTER NYO
0E9A..0E9B    ; Laoo; Thai; A #  [2] (ບ..ປ)  LAO LETTER BO..LAO LETTER PO
0E9D..0E9F    ; Laoo; Thai; A #  [3] (ຝ..ຟ)  LAO LETTER FO TAM..LAO LETTER FO SUNG
0EB8..0EB9    ; Laoo; Thai; A #  [2] (ຸ..ູ)  LAO VOWEL SIGN U..LAO VOWEL SIGN UU
0EC8..0ECB    ; Laoo; Thai; A #  [4] (່..໋)  LAO TONE MAI EK..LAO TONE MAI CATAWA
0ECD          ; Laoo; Thai; A #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Thai; A #      (໐)  LAO DIGIT ZERO

# Total code points: 15

# Latin; Arabic: [ILOVloöøŁłơ]; [إاةه١٥٧ھہۃە۱۵۷ۿ]

0049          ; Latn; Arab; A #      (I)  LATIN CAPITAL LETTER I
004C          ; Latn; Arab; A #      (L)  LATIN CAPITAL LETTER L
004F          ; Latn; Arab; A #      (O)  LATIN CAPITAL LETTER O
0056          ; Latn; Arab; A #      (V)  LATIN CAPITAL LETTER V
006C          ; Latn; Arab; A #      (l)  LATIN SMALL LETTER L
006F          ; Latn; Arab; A #      (o)  LATIN SMALL LETTER O
00F6          ; Latn; Arab; A #      (ö)  LATIN SMALL LETTER O WITH DIAERESIS
00F8          ; Latn; Arab; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
0141..0142    ; Latn; Arab; A #  [2] (Ł..ł)  LATIN CAPITAL LETTER L WITH STROKE..LATIN SMALL LETTER L WITH STROKE
01A1          ; Latn; Arab; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 11

# Latin; Armenian: [OSUf-hnoqu-wØøħƠơǾ]; [ՍՏՕագզհոռսցքօ]

004F          ; Latn; Armn; A #      (O)  LATIN CAPITAL LETTER O
0053          ; Latn; Armn; A #      (S)  LATIN CAPITAL LETTER S
0055          ; Latn; Armn; A #      (U)  LATIN CAPITAL LETTER U
0066..0068    ; Latn; Armn; A #  [3] (f..h)  LATIN SMALL LETTER F..LATIN SMALL LETTER H
006E..006F    ; Latn; Armn; A #  [2] (n..o)  LATIN SMALL LETTER N..LATIN SMALL LETTER O
0071          ; Latn; Armn; A #      (q)  LATIN SMALL LETTER Q
0075..0077    ; Latn; Armn; A #  [3] (u..w)  LATIN SMALL LETTER U..LATIN SMALL LETTER W
00D8          ; Latn; Armn; A #      (Ø)  LATIN CAPITAL LETTER O WITH STROKE
00F8          ; Latn; Armn; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
0127          ; Latn; Armn; A #      (ħ)  LATIN SMALL LETTER H WITH STROKE
01A0..01A1    ; Latn; Armn; A #  [2] (Ơ..ơ)  LATIN CAPITAL LETTER O WITH HORN..LATIN SMALL LETTER O WITH HORN
01FE          ; Latn; Armn; A #      (Ǿ)  LATIN CAPITAL LETTER O WITH STROKE AND ACUTE

# Total code points: 18

# Latin; Bengali: [OØƠǾ]; [০]

004F          ; Latn; Beng; A #      (O)  LATIN CAPITAL LETTER O
00D8          ; Latn; Beng; A #      (Ø)  LATIN CAPITAL LETTER O WITH STROKE
01A0          ; Latn; Beng; A #      (Ơ)  LATIN CAPITAL LETTER O WITH HORN
01FE          ; Latn; Beng; A #      (Ǿ)  LATIN CAPITAL LETTER O WITH STROKE AND ACUTE

# Total code points: 4

# Latin; Cyrillic: [A-CEG-MOPSTW-Ya-eh-yÆÇØæçøđĦħıĸŁłŦŧƏƠơǾəꞒꞓ]; [Є-ІЈА-ВЕКМ-ОР-ТХЫЬЮагекмо-ухцъє-іјћҌҍґғҚқҞҟҢҪ-ҲһҽҿӇӉӍ-ӏӔӕӘәӨөԁԌԑԛ-ԝ]

0041..0043    ; Latn; Cyrl; A #  [3] (A..C)  LATIN CAPITAL LETTER A..LATIN CAPITAL LETTER C
0045          ; Latn; Cyrl; A #      (E)  LATIN CAPITAL LETTER E
0047..004D    ; Latn; Cyrl; A #  [7] (G..M)  LATIN CAPITAL LETTER G..LATIN CAPITAL LETTER M
004F..0050    ; Latn; Cyrl; A #  [2] (O..P)  LATIN CAPITAL LETTER O..LATIN CAPITAL LETTER P
0053..0054    ; Latn; Cyrl; A #  [2] (S..T)  LATIN CAPITAL LETTER S..LATIN CAPITAL LETTER T
0057..0059    ; Latn; Cyrl; A #  [3] (W..Y)  LATIN CAPITAL LETTER W..LATIN CAPITAL LETTER Y
0061..0065    ; Latn; Cyrl; A #  [5] (a..e)  LATIN SMALL LETTER A..LATIN SMALL LETTER E
0068..0079    ; Latn; Cyrl; A # [18] (h..y)  LATIN SMALL LETTER H..LATIN SMALL LETTER Y
00C6..00C7    ; Latn; Cyrl; A #  [2] (Æ..Ç)  LATIN CAPITAL LETTER AE..LATIN CAPITAL LETTER C WITH CEDILLA
00D8          ; Latn; Cyrl; A #      (Ø)  LATIN CAPITAL LETTER O WITH STROKE
00E6..00E7    ; Latn; Cyrl; A #  [2] (æ..ç)  LATIN SMALL LETTER AE..LATIN SMALL LETTER C WITH CEDILLA
00F8          ; Latn; Cyrl; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
0111          ; Latn; Cyrl; A #      (đ)  LATIN SMALL LETTER D WITH STROKE
0126..0127    ; Latn; Cyrl; A #  [2] (Ħ..ħ)  LATIN CAPITAL LETTER H WITH STROKE..LATIN SMALL LETTER H WITH STROKE
0131          ; Latn; Cyrl; A #      (ı)  LATIN SMALL LETTER DOTLESS I
0138          ; Latn; Cyrl; A #      (ĸ)  LATIN SMALL LETTER KRA
0141..0142    ; Latn; Cyrl; A #  [2] (Ł..ł)  LATIN CAPITAL LETTER L WITH STROKE..LATIN SMALL LETTER L WITH STROKE
0166..0167    ; Latn; Cyrl; A #  [2] (Ŧ..ŧ)  LATIN CAPITAL LETTER T WITH STROKE..LATIN SMALL LETTER T WITH STROKE
018F          ; Latn; Cyrl; A #      (Ə)  LATIN CAPITAL LETTER SCHWA
01A0..01A1    ; Latn; Cyrl; A #  [2] (Ơ..ơ)  LATIN CAPITAL LETTER O WITH HORN..LATIN SMALL LETTER O WITH HORN
01FE          ; Latn; Cyrl; A #      (Ǿ)  LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
0259          ; Latn; Cyrl; A #      (ə)  LATIN SMALL LETTER SCHWA
A792..A793    ; Latn; Cyrl; A #  [2] (Ꞓ..ꞓ)  LATIN CAPITAL LETTER C WITH BAR..LATIN SMALL LETTER C WITH BAR

# Total code points: 63

# Latin; Devanagari: [oøơ]; [०]

006F          ; Latn; Deva; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Deva; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Deva; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Georgian: [oyøơ]; [ყჿ]

006F          ; Latn; Geor; A #      (o)  LATIN SMALL LETTER O
0079          ; Latn; Geor; A #      (y)  LATIN SMALL LETTER Y
00F8          ; Latn; Geor; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Geor; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 4

# Latin; Greek: [ABEHIK-PTX-Zaikln-pt-vyØßøĦıĸŁłŦŧƠơǾꞓ]; [ΑΒΕ-ΚΜΝΟΡΤΥΧα-γεη-κνο-ρσ-υ]

0041..0042    ; Latn; Grek; A #  [2] (A..B)  LATIN CAPITAL LETTER A..LATIN CAPITAL LETTER B
0045          ; Latn; Grek; A #      (E)  LATIN CAPITAL LETTER E
0048..0049    ; Latn; Grek; A #  [2] (H..I)  LATIN CAPITAL LETTER H..LATIN CAPITAL LETTER I
004B..0050    ; Latn; Grek; A #  [6] (K..P)  LATIN CAPITAL LETTER K..LATIN CAPITAL LETTER P
0054          ; Latn; Grek; A #      (T)  LATIN CAPITAL LETTER T
0058..005A    ; Latn; Grek; A #  [3] (X..Z)  LATIN CAPITAL LETTER X..LATIN CAPITAL LETTER Z
0061          ; Latn; Grek; A #      (a)  LATIN SMALL LETTER A
0069          ; Latn; Grek; A #      (i)  LATIN SMALL LETTER I
006B..006C    ; Latn; Grek; A #  [2] (k..l)  LATIN SMALL LETTER K..LATIN SMALL LETTER L
006E..0070    ; Latn; Grek; A #  [3] (n..p)  LATIN SMALL LETTER N..LATIN SMALL LETTER P
0074..0076    ; Latn; Grek; A #  [3] (t..v)  LATIN SMALL LETTER T..LATIN SMALL LETTER V
0079          ; Latn; Grek; A #      (y)  LATIN SMALL LETTER Y
00D8          ; Latn; Grek; A #      (Ø)  LATIN CAPITAL LETTER O WITH STROKE
00DF          ; Latn; Grek; A #      (ß)  LATIN SMALL LETTER SHARP S
00F8          ; Latn; Grek; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
0126          ; Latn; Grek; A #      (Ħ)  LATIN CAPITAL LETTER H WITH STROKE
0131          ; Latn; Grek; A #      (ı)  LATIN SMALL LETTER DOTLESS I
0138          ; Latn; Grek; A #      (ĸ)  LATIN SMALL LETTER KRA
0141..0142    ; Latn; Grek; A #  [2] (Ł..ł)  LATIN CAPITAL LETTER L WITH STROKE..LATIN SMALL LETTER L WITH STROKE
0166..0167    ; Latn; Grek; A #  [2] (Ŧ..ŧ)  LATIN CAPITAL LETTER T WITH STROKE..LATIN SMALL LETTER T WITH STROKE
01A0..01A1    ; Latn; Grek; A #  [2] (Ơ..ơ)  LATIN CAPITAL LETTER O WITH HORN..LATIN SMALL LETTER O WITH HORN
01FE          ; Latn; Grek; A #      (Ǿ)  LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
A793          ; Latn; Grek; A #      (ꞓ)  LATIN SMALL LETTER C WITH BAR

# Total code points: 40

# Latin; Gujarati: [oøơ]; [૦]

006F          ; Latn; Gujr; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Gujr; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Gujr; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Gurmukhi: [oøơ]; [੦]

006F          ; Latn; Guru; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Guru; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Guru; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Han: [OØƠǾ]; [〇]

004F          ; Latn; Hani; A #      (O)  LATIN CAPITAL LETTER O
00D8          ; Latn; Hani; A #      (Ø)  LATIN CAPITAL LETTER O WITH STROKE
01A0          ; Latn; Hani; A #      (Ơ)  LATIN CAPITAL LETTER O WITH HORN
01FE          ; Latn; Hani; A #      (Ǿ)  LATIN CAPITAL LETTER O WITH STROKE AND ACUTE

# Total code points: 4

# Latin; Hebrew: [ILOlovøŁłơ]; [וטיןסװױ]

0049          ; Latn; Hebr; A #      (I)  LATIN CAPITAL LETTER I
004C          ; Latn; Hebr; A #      (L)  LATIN CAPITAL LETTER L
004F          ; Latn; Hebr; A #      (O)  LATIN CAPITAL LETTER O
006C          ; Latn; Hebr; A #      (l)  LATIN SMALL LETTER L
006F          ; Latn; Hebr; A #      (o)  LATIN SMALL LETTER O
0076          ; Latn; Hebr; A #      (v)  LATIN SMALL LETTER V
00F8          ; Latn; Hebr; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
0141..0142    ; Latn; Hebr; A #  [2] (Ł..ł)  LATIN CAPITAL LETTER L WITH STROKE..LATIN SMALL LETTER L WITH STROKE
01A1          ; Latn; Hebr; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 10

# Latin; Kannada: [oøơ]; [ಂ೦]

006F          ; Latn; Knda; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Knda; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Knda; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Lao: [oøơ]; [໐]

006F          ; Latn; Laoo; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Laoo; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Laoo; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Malayalam: [OoØøƠơǾ]; [ംഠ൦]

004F          ; Latn; Mlym; A #      (O)  LATIN CAPITAL LETTER O
006F          ; Latn; Mlym; A #      (o)  LATIN SMALL LETTER O
00D8          ; Latn; Mlym; A #      (Ø)  LATIN CAPITAL LETTER O WITH STROKE
00F8          ; Latn; Mlym; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A0..01A1    ; Latn; Mlym; A #  [2] (Ơ..ơ)  LATIN CAPITAL LETTER O WITH HORN..LATIN SMALL LETTER O WITH HORN
01FE          ; Latn; Mlym; A #      (Ǿ)  LATIN CAPITAL LETTER O WITH STROKE AND ACUTE

# Total code points: 7

# Latin; Myanmar: [oøơ]; [ဝ၀]

006F          ; Latn; Mymr; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Mymr; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Mymr; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Oriya: [OØƠǾ]; [ଠ୦]

004F          ; Latn; Orya; A #      (O)  LATIN CAPITAL LETTER O
00D8          ; Latn; Orya; A #      (Ø)  LATIN CAPITAL LETTER O WITH STROKE
01A0          ; Latn; Orya; A #      (Ơ)  LATIN CAPITAL LETTER O WITH HORN
01FE          ; Latn; Orya; A #      (Ǿ)  LATIN CAPITAL LETTER O WITH STROKE AND ACUTE

# Total code points: 4

# Latin; Sinhala: [oøơ]; [ං]

006F          ; Latn; Sinh; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Sinh; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Sinh; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Tamil: [oøơ]; [௦]

006F          ; Latn; Taml; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Taml; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Taml; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Telugu: [oøơ]; [ం౦]

006F          ; Latn; Telu; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Telu; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Telu; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Thai: [oøơ]; [๐]

006F          ; Latn; Thai; A #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Thai; A #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Thai; A #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Malayalam; Arabic: [ം൦]; [ه٥ھہە۵ۿ]

0D02          ; Mlym; Arab; A #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Arab; A #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Armenian: [ംഠ൦]; [Օօ]

0D02          ; Mlym; Armn; A #      (ം)  MALAYALAM SIGN ANUSVARA
0D20          ; Mlym; Armn; A #      (ഠ)  MALAYALAM LETTER TTHA
0D66          ; Mlym; Armn; A #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Bengali: [ഃഠ]; [ঃ০]

0D03          ; Mlym; Beng; A #      (ഃ)  MALAYALAM SIGN VISARGA
0D20          ; Mlym; Beng; A #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 2

# Malayalam; Cyrillic: [ംഠ൦]; [ОоӨө]

0D02          ; Mlym; Cyrl; A #      (ം)  MALAYALAM SIGN ANUSVARA
